chr	start	end	length	summit	tags	NAME	fold_enrichment	FDR%	chromosome	summit_center_pos	summit_centered_start	summit_centered_end
chr11	80542205	80543116	912	479	33	123.62	6.67	0.04	chr11	80542683	80542633	80542733
chr11	81577402	81578083	682	274	21	63.99	4.67	0.19	chr11	81577675	81577625	81577725
chr11	82578518	82579082	565	214	21	81.23	6	0.09	chr11	82578731	82578681	82578781
chr11	82613482	82614293	812	340	36	160.62	8.71	0.03	chr11	82613821	82613771	82613871
chr11	83142057	83142963	907	483	33	106.01	7.65	0.05	chr11	83142539	83142489	83142589
chr11	83556655	83557379	725	396	18	53.59	4.72	0.35	chr11	83557050	83557000	83557100
chr11	84362775	84363676	902	386	39	202.73	11.33	0.03	chr11	84363160	84363110	84363210
chr11	84577530	84578719	1190	571	130	764.71	18.33	0	chr11	84578100	84578050	84578150
chr11	85763424	85764533	1110	632	91	310.7	8.24	0.02	chr11	85764055	85764005	85764105
chr11	86384868	86386018	1151	533	45	113.04	5.24	0.04	chr11	86385400	86385350	86385450
chr11	89439923	89440862	940	505	30	71.01	5.28	0.14	chr11	89440427	89440377	89440477
chr11	9038593	9039464	872	389	38	185.34	10.71	0.03	chr11	9038981	9038931	9039031
chr11	9159081	9159693	613	363	16	55.19	4.17	0.32	chr11	9159443	9159393	9159493
chr11	92702856	92703740	885	503	25	82.16	5.38	0.08	chr11	92703358	92703308	92703408
chr11	93363226	93365203	1978	1390	78	284.13	10.94	0.02	chr11	93364615	93364565	93364665
chr11	94701483	94701968	486	244	14	55.17	4.62	0.32	chr11	94701726	94701676	94701776
chr11	94809436	94810453	1018	530	36	133.83	6.55	0.04	chr11	94809965	94809915	94810015
chr11	95143646	95144598	953	435	34	112.72	7.19	0.04	chr11	95144080	95144030	95144130
chr11	96070440	96071288	849	425	24	87.44	6.91	0.07	chr11	96070864	96070814	96070914
chr11	9931513	9932395	883	356	24	95.4	7.27	0.06	chr11	9931868	9931818	9931918
chr12	100353218	100354784	1567	1075	67	264.34	5.62	0.02	chr12	100354292	100354242	100354342
chr12	100378877	100379882	1006	518	51	150.21	7.92	0.03	chr12	100379394	100379344	100379444
chr12	102963770	102964842	1073	547	86	783.12	32.73	0	chr12	102964316	102964266	102964366
chr12	105346905	105347820	916	492	23	105.38	8.62	0.05	chr12	105347396	105347346	105347446
chr12	105623035	105623755	721	339	19	109.6	8.44	0.04	chr12	105623373	105623323	105623423
chr12	107185067	107185830	764	293	22	85.54	5.04	0.07	chr12	107185359	107185309	107185409
chr12	107520405	107521424	1020	472	45	204.42	9.67	0.03	chr12	107520876	107520826	107520926
chr12	107879496	107880393	898	638	59	333.29	11.65	0.03	chr12	107880133	107880083	107880183
chr12	10868984	10870679	1696	1109	172	880.04	16.55	0	chr12	10870092	10870042	10870142
chr12	109133865	109134318	454	199	21	123.54	7.32	0.04	chr12	109134063	109134013	109134113
chr12	110722312	110722821	510	244	20	93.12	5.8	0.07	chr12	110722555	110722505	110722605
chr12	11078167	11078898	732	199	23	104.25	5.45	0.04	chr12	11078365	11078315	11078415
chr12	112778725	112779516	792	295	31	157.17	6.91	0.03	chr12	112779019	112778969	112779069
chr12	112802604	112803225	622	196	30	140.83	7.19	0.04	chr12	112802799	112802749	112802849
chr12	11473915	11474475	561	377	16	67.2	4.05	0.17	chr12	11474291	11474241	11474341
chr12	116201446	116202474	1029	567	71	233.03	8.5	0.02	chr12	116202012	116201962	116202062
chr12	116946905	116947915	1011	536	44	146.25	7.37	0.03	chr12	116947440	116947390	116947490
chr12	118175921	118176469	549	309	15	52.15	4.62	0.39	chr12	118176229	118176179	118176279
chr12	118495414	118496182	769	428	38	194.77	8.61	0.02	chr12	118495841	118495791	118495891
chr12	119672953	119673489	537	353	14	52.71	4.02	0.36	chr12	119673305	119673255	119673355
chr12	119895036	119895630	595	308	18	61.29	5	0.23	chr12	119895343	119895293	119895393
chr12	122369097	122370319	1223	641	110	275.33	7.5	0.02	chr12	122369737	122369687	122369787
chr12	122429835	122430666	832	370	50	320	12.86	0.02	chr12	122430204	122430154	122430254
chr12	123353171	123354142	972	546	30	73.77	5.29	0.12	chr12	123353716	123353666	123353766
chr12	123762280	123763166	887	470	43	245.83	13.08	0.02	chr12	123762749	123762699	123762799
chr12	124533723	124534757	1035	505	51	310.94	12.5	0.02	chr12	124534227	124534177	124534277
chr12	124844073	124844894	822	398	29	70.14	3.5	0.15	chr12	124844470	124844420	124844520
chr12	12857244	12858135	892	442	22	86.56	6.94	0.07	chr12	12857685	12857635	12857735
chr12	129283004	129283590	587	208	16	69.4	5.34	0.16	chr12	129283211	129283161	129283261
chr12	13068941	13069913	973	539	44	201.79	8.33	0.02	chr12	13069479	13069429	13069529
chr12	130820875	130821874	1000	470	47	136.11	7.39	0.04	chr12	130821344	130821294	130821394
chr12	13250497	13251568	1072	577	44	101.05	5	0.05	chr12	13251073	13251023	13251123
chr12	13280081	13281022	942	520	34	114.45	6.56	0.04	chr12	13280600	13280550	13280650
chr12	14408180	14409867	1688	582	74	305.79	8.6	0.02	chr12	14408761	14408711	14408811
chr12	1533846	1534863	1018	501	33	141.03	8.75	0.04	chr12	1534346	1534296	1534396
chr12	15517257	15517785	529	329	14	55.94	5.56	0.31	chr12	15517585	15517535	15517635
chr12	16039423	16040410	988	517	41	68.2	4.82	0.16	chr12	16039939	16039889	16039989
chr12	1671604	1672380	777	378	21	68.61	5.2	0.16	chr12	1671981	1671931	1672031
chr12	18402979	18403871	893	465	25	135.28	9.15	0.04	chr12	18403443	18403393	18403493
chr12	19320189	19321086	898	457	28	76.71	6.25	0.1	chr12	19320645	19320595	19320695
chr12	20069565	20070500	936	532	50	407.55	21.67	0.02	chr12	20070096	20070046	20070146
chr12	20795963	20797150	1188	717	46	224.73	8.68	0.02	chr12	20796679	20796629	20796729
chr12	20860345	20861196	852	567	29	100.72	5.67	0.05	chr12	20860911	20860861	20860961
chr12	21790691	21791569	879	439	25	74.98	5.36	0.11	chr12	21791129	21791079	21791179
chr12	2303222	2304450	1229	483	59	236.19	7.5	0.02	chr12	2303704	2303654	2303754
chr12	2360895	2361525	631	321	27	84.57	4.66	0.07	chr12	2361215	2361165	2361265
chr12	24238553	24239345	793	315	20	57.97	5.34	0.28	chr12	24238867	24238817	24238917
chr12	2434328	2435263	936	510	104	666.57	14.6	0	chr12	2434837	2434787	2434887
chr12	25572041	25572840	800	422	26	73.67	5	0.12	chr12	25572462	25572412	25572512
chr12	26780135	26780995	861	425	29	83.77	5.88	0.07	chr12	26780559	26780509	26780609
chr12	26863629	26864695	1067	567	47	82.2	3.79	0.08	chr12	26864195	26864145	26864245
chr12	27092007	27092841	835	450	26	69.71	4.44	0.16	chr12	27092456	27092406	27092506
chr12	27430778	27431595	818	450	22	69.45	5.73	0.16	chr12	27431227	27431177	27431277
chr12	29718505	29719350	846	372	31	67.99	4.77	0.16	chr12	29718876	29718826	29718926
chr12	30960104	30961003	900	483	37	93.11	5.23	0.07	chr12	30960586	30960536	30960636
chr12	31097433	31098040	608	188	15	63.14	5	0.2	chr12	31097620	31097570	31097670
chr12	31644111	31645152	1042	459	59	357.65	14.29	0.02	chr12	31644569	31644519	31644619
chr12	32405186	32406085	900	363	33	154.12	8.4	0.03	chr12	32405548	32405498	32405598
chr12	32996460	32997420	961	419	29	120.59	6.99	0.04	chr12	32996878	32996828	32996928
chr12	33758435	33759097	663	468	36	202.6	11	0.03	chr12	33758902	33758852	33758952
chr12	38898991	38900042	1052	586	53	209.68	8.95	0.03	chr12	38899576	38899526	38899626
chr12	38995370	38996498	1129	614	47	173.35	8.24	0.03	chr12	38995983	38995933	38996033
chr12	40406411	40406980	570	263	17	65.2	5	0.18	chr12	40406673	40406623	40406723
chr12	44164063	44164809	747	291	53	301.63	10.94	0.02	chr12	44164353	44164303	44164403
chr12	4429360	4430199	840	391	26	106.34	5.33	0.05	chr12	4429750	4429700	4429800
chr12	46722476	46723415	940	463	67	535.14	19.42	0.02	chr12	46722938	46722888	46722988
chr12	46745440	46746178	739	289	20	52.67	3.33	0.37	chr12	46745728	46745678	46745778
chr12	51020239	51021131	893	463	30	95.59	6.13	0.06	chr12	51020701	51020651	51020751
chr12	52726692	52727807	1116	556	48	222.08	10.21	0.02	chr12	52727247	52727197	52727297
chr12	53814989	53815731	743	452	24	62.05	4.72	0.22	chr12	53815440	53815390	53815490
chr12	54197869	54199026	1158	605	76	119.4	4.89	0.04	chr12	54198473	54198423	54198523
chr12	54383467	54384836	1370	830	56	209.71	8.12	0.03	chr12	54384296	54384246	54384346
chr12	54601553	54601929	377	188	15	69.98	5	0.16	chr12	54601740	54601690	54601790
chr12	55351533	55352280	748	462	23	99.92	6.7	0.05	chr12	55351994	55351944	55352044
chr12	59003106	59004561	1456	469	50	252.58	13.08	0.03	chr12	59003574	59003524	59003624
chr12	60962294	60963445	1152	578	90	475.1	14.32	0.01	chr12	60962871	60962821	60962921
chr12	62604030	62604890	861	322	35	181.63	10.83	0.03	chr12	62604351	62604301	62604401
chr12	6338244	6339553	1310	502	111	628.08	13.64	0.02	chr12	6338745	6338695	6338795
chr12	6375527	6377028	1502	884	115	620.25	13.33	0.02	chr12	6376410	6376360	6376460
chr12	65334987	65335909	923	442	28	88.23	7.09	0.07	chr12	65335428	65335378	65335478
chr12	65961474	65962375	902	449	67	305.67	9.84	0.02	chr12	65961922	65961872	65961972
chr12	67024574	67025755	1182	587	64	164.59	6.96	0.03	chr12	67025160	67025110	67025210
chr12	69897758	69898446	689	491	42	240.81	10.94	0.02	chr12	69898248	69898198	69898298
chr12	70464073	70464939	867	467	32	123.94	6.51	0.04	chr12	70464539	70464489	70464589
chr12	71820384	71820904	521	286	17	71.72	4.58	0.14	chr12	71820669	71820619	71820719
chr12	71897266	71898266	1001	539	33	131.22	6.15	0.04	chr12	71897804	71897754	71897854
chr12	72115287	72116353	1067	507	42	152.56	8.12	0.03	chr12	72115793	72115743	72115843
chr12	72635037	72636020	984	518	27	122.61	9.38	0.04	chr12	72635554	72635504	72635604
chr12	73447296	73448388	1093	568	125	139.35	5.17	0.04	chr12	73447863	73447813	73447913
chr12	73614392	73615491	1100	539	40	115.88	5.56	0.04	chr12	73614930	73614880	73614980
chr12	74228570	74229537	968	526	52	134.98	5.89	0.04	chr12	74229095	74229045	74229145
chr12	75522378	75523854	1477	844	296	2360.83	29.55	0	chr12	75523221	75523171	75523271
chr12	76746282	76747491	1210	724	56	259.17	9.33	0.02	chr12	76747005	76746955	76747055
chr12	78117830	78118536	707	516	24	103.38	7.42	0.04	chr12	78118345	78118295	78118395
chr12	78223991	78225107	1117	551	72	427.02	13.75	0.02	chr12	78224541	78224491	78224591
chr12	78802621	78803354	734	433	19	68.42	3.81	0.16	chr12	78803053	78803003	78803103
chr12	79037186	79038177	992	401	93	801.85	22.86	0	chr12	79037586	79037536	79037636
chr12	80240834	80241914	1081	598	59	369.15	13.85	0.02	chr12	80241431	80241381	80241481
chr12	81310003	81312154	2152	704	98	484.45	11.03	0.01	chr12	81310706	81310656	81310756
chr12	81602800	81604375	1576	1056	83	463.42	14.29	0.01	chr12	81603855	81603805	81603905
chr12	81824636	81825315	680	391	18	59.71	4	0.26	chr12	81825026	81824976	81825076
chr12	81933708	81934393	686	297	41	234.35	6.25	0.02	chr12	81934004	81933954	81934054
chr12	83907813	83908783	971	474	37	183.72	7.63	0.03	chr12	83908286	83908236	83908336
chr12	85424317	85425256	940	596	108	1114.18	34.38	0	chr12	85424912	85424862	85424962
chr12	87476541	87477119	579	168	17	67.68	5.24	0.16	chr12	87476708	87476658	87476758
chr12	87608959	87609835	877	438	44	174.33	7.63	0.03	chr12	87609396	87609346	87609446
chr12	881014	881690	677	364	20	72.98	5.81	0.13	chr12	881377	881327	881427
chr12	89317645	89318655	1011	504	36	129.44	6	0.04	chr12	89318148	89318098	89318198
chr12	89777842	89779217	1376	888	52	223.53	6.72	0.02	chr12	89778729	89778679	89778779
chr12	91184674	91185473	800	287	37	97.66	5.21	0.06	chr12	91184960	91184910	91185010
chr12	91828793	91829528	736	437	21	117.91	10	0.04	chr12	91829229	91829179	91829279
chr12	93496730	93497525	796	519	22	134.79	9.65	0.04	chr12	93497248	93497198	93497298
chr12	94105200	94106726	1527	982	67	366.14	11.67	0.02	chr12	94106181	94106131	94106231
chr12	97666326	97667396	1071	559	45	135.47	6.25	0.04	chr12	97666884	97666834	97666934
chr12	98032505	98033657	1153	344	39	140.73	5.36	0.04	chr12	98032848	98032798	98032898
chr12	98158057	98159370	1314	598	67	417.81	11.25	0.02	chr12	98158654	98158604	98158704
chr13	100310707	100312437	1731	1146	72	218.59	6.84	0.02	chr13	100311852	100311802	100311902
chr13	100578046	100579078	1033	604	41	97.73	3.86	0.06	chr13	100578649	100578599	100578699
chr13	100635896	100636794	899	343	38	117.32	7.25	0.04	chr13	100636238	100636188	100636288
chr13	102276304	102276982	679	340	22	52.73	3.68	0.36	chr13	102276643	102276593	102276693
chr13	102629635	102630342	708	501	22	92.47	4.58	0.07	chr13	102630135	102630085	102630185
chr13	103597399	103598442	1044	518	76	412.86	11.5	0.02	chr13	103597916	103597866	103597966
chr13	104611283	104612420	1138	561	89	685.58	23.21	0	chr13	104611843	104611793	104611893
chr13	104964094	104964676	583	298	20	100.45	6.25	0.05	chr13	104964391	104964341	104964441
chr13	105029592	105030201	610	267	23	66.79	4.21	0.17	chr13	105029858	105029808	105029908
chr13	105217950	105218813	864	477	91	457.2	10.65	0.01	chr13	105218426	105218376	105218476
chr13	106448136	106449366	1231	567	148	526.38	10.1	0.02	chr13	106448702	106448652	106448752
chr13	106781459	106782174	716	450	25	59.67	4	0.26	chr13	106781908	106781858	106781958
chr13	109727983	109729353	1371	727	97	62.11	3.38	0.22	chr13	109728709	109728659	109728759
chr13	110188846	110191793	2948	836	468	505.78	5.5	0.01	chr13	110189681	110189631	110189731
chr13	110300452	110304680	4229	1803	382	335.65	10.41	0.03	chr13	110302254	110302204	110302304
chr13	112293487	112297980	4494	3177	283	332.78	5	0.03	chr13	112296663	112296613	112296713
chr13	114294578	114295159	582	182	15	90.37	7.58	0.06	chr13	114294759	114294709	114294809
chr13	21517381	21518207	827	350	36	141.86	6.47	0.04	chr13	21517730	21517680	21517780
chr13	22115171	22115799	629	290	19	108.78	6.74	0.04	chr13	22115460	22115410	22115510
chr13	22162759	22163454	696	385	16	71.94	6.55	0.13	chr13	22163143	22163093	22163193
chr13	22669716	22670440	725	318	16	77.5	7.33	0.1	chr13	22670033	22669983	22670083
chr13	25165383	25166718	1336	510	72	294.21	10.79	0.02	chr13	25165892	25165842	25165942
chr13	26764604	26765736	1133	593	68	487.41	18.75	0.01	chr13	26765196	26765146	26765246
chr13	27112212	27113553	1342	546	82	678.3	18.18	0	chr13	27112757	27112707	27112807
chr13	27596463	27597442	980	494	28	74.13	4.33	0.12	chr13	27596956	27596906	27597006
chr13	28211194	28211960	767	346	21	98.11	6.99	0.06	chr13	28211539	28211489	28211589
chr13	29465051	29465605	555	266	16	51.41	4.64	0.41	chr13	29465316	29465266	29465366
chr13	30579416	30580182	767	431	32	220.74	11.67	0.02	chr13	30579846	30579796	30579896
chr13	31492487	31493416	930	477	26	78.44	7.14	0.1	chr13	31492963	31492913	31493013
chr13	32136205	32136908	704	351	19	63.75	5.77	0.19	chr13	32136555	32136505	32136605
chr13	32827808	32828691	884	320	49	288.9	13.21	0.02	chr13	32828127	32828077	32828177
chr13	32859390	32859976	587	328	18	107.55	6.63	0.04	chr13	32859717	32859667	32859767
chr13	34110903	34111517	615	393	48	433.51	20.54	0.02	chr13	34111295	34111245	34111345
chr13	34235202	34235807	606	414	15	53.44	3.46	0.35	chr13	34235615	34235565	34235665
chr13	35336442	35337389	948	455	67	323.03	12.27	0.02	chr13	35336896	35336846	35336946
chr13	39416330	39417350	1021	512	37	113.1	7.94	0.04	chr13	39416841	39416791	39416891
chr13	39537046	39537664	619	331	21	94.06	6.67	0.06	chr13	39537376	39537326	39537426
chr13	41187360	41188105	746	429	17	57.4	5.91	0.28	chr13	41187788	41187738	41187838
chr13	42270496	42271356	861	364	26	87.12	6.07	0.07	chr13	42270859	42270809	42270909
chr13	44625390	44626280	891	357	39	254.55	14.5	0.03	chr13	44625746	44625696	44625796
chr13	44697225	44698015	791	479	20	80.98	5.93	0.09	chr13	44697703	44697653	44697753
chr13	45421660	45422314	655	289	17	65.99	5.8	0.17	chr13	45421948	45421898	45421998
chr13	45430557	45431567	1011	438	53	331.82	14.52	0.03	chr13	45430994	45430944	45431044
chr13	46499870	46500365	496	205	14	65.15	5	0.18	chr13	46500074	46500024	46500124
chr13	46756478	46757377	900	417	29	112.29	8.08	0.04	chr13	46756894	46756844	46756944
chr13	48795584	48796617	1034	495	38	182.31	11.25	0.03	chr13	48796078	48796028	48796128
chr13	49557327	49558056	730	378	48	446.32	20.56	0.01	chr13	49557704	49557654	49557754
chr13	49684125	49684867	743	326	18	88.72	8.05	0.07	chr13	49684450	49684400	49684500
chr13	49945931	49946621	691	355	26	83.55	5.83	0.08	chr13	49946285	49946235	49946335
chr13	49973664	49974804	1141	541	109	1044.91	31.25	0	chr13	49974204	49974154	49974254
chr13	52210249	52211248	1000	445	60	285.56	7.63	0.02	chr13	52210693	52210643	52210743
chr13	54418190	54418818	629	432	20	93.65	7.19	0.06	chr13	54418621	54418571	54418671
chr13	60749388	60749948	561	373	14	60.42	5.79	0.25	chr13	60749760	60749710	60749810
chr13	63203469	63204407	939	422	35	198.4	8.5	0.02	chr13	63203890	63203840	63203940
chr13	63236258	63237010	753	312	19	90.44	7.22	0.07	chr13	63236569	63236519	63236619
chr13	63795517	63796451	935	347	37	241.84	11.11	0.02	chr13	63795863	63795813	63795913
chr13	66336506	66337551	1046	472	110	326.88	8.96	0.03	chr13	66336977	66336927	66337027
chr13	70898557	70899058	502	327	16	110.15	6.89	0.04	chr13	70898883	70898833	70898933
chr13	74241359	74242155	797	299	31	242.41	14.48	0.02	chr13	74241657	74241607	74241707
chr13	78272851	78273380	530	332	17	59.31	4.31	0.26	chr13	78273182	78273132	78273232
chr13	80706809	80707962	1154	588	110	835.85	18.82	0	chr13	80707396	80707346	80707446
chr13	82566201	82566788	588	325	16	50.97	4.14	0.42	chr13	82566525	82566475	82566575
chr13	90685420	90686459	1040	474	71	589.41	23.18	0.02	chr13	90685893	90685843	90685943
chr13	91722935	91723476	542	349	14	60.64	6.12	0.24	chr13	91723283	91723233	91723333
chr13	93852507	93853349	843	557	58	513.68	21	0.02	chr13	93853063	93853013	93853113
chr13	94388823	94389651	829	415	75	385.97	8.48	0.02	chr13	94389237	94389187	94389287
chr13	95696584	95698439	1856	361	148	822.66	11.19	0	chr13	95696944	95696894	95696994
chr13	98228070	98228791	722	342	26	78.64	4.17	0.09	chr13	98228411	98228361	98228461
chr13	98594218	98594868	651	230	26	84.18	6.05	0.07	chr13	98594447	98594397	98594497
chr13	98824948	98826043	1096	546	71	383.6	14.44	0.02	chr13	98825493	98825443	98825543
chr13	99227749	99228647	899	457	25	79.64	4.96	0.09	chr13	99228205	99228155	99228255
chr14	104194995	104195885	891	444	36	162.16	5.71	0.03	chr14	104195438	104195388	104195488
chr14	105213019	105214198	1180	733	67	253.63	7.95	0.03	chr14	105213751	105213701	105213801
chr14	22171220	22172347	1128	513	101	653.96	16.5	0.02	chr14	22171732	22171682	22171782
chr14	22733462	22734045	584	387	16	58.6	5	0.27	chr14	22733848	22733798	22733898
chr14	23475360	23476735	1376	412	38	136.81	5.59	0.04	chr14	23475771	23475721	23475821
chr14	25388885	25389951	1067	573	46	141.12	7.25	0.04	chr14	25389457	25389407	25389507
chr14	25398541	25399144	604	240	15	68.04	5.85	0.16	chr14	25398780	25398730	25398830
chr14	25662420	25663357	938	539	34	137.17	9.02	0.04	chr14	25662958	25662908	25663008
chr14	26994202	26994980	779	343	23	119.73	8.89	0.04	chr14	26994544	26994494	26994594
chr14	29270423	29271767	1345	855	57	328.03	11.71	0.03	chr14	29271277	29271227	29271327
chr14	29428324	29429009	686	280	22	143.58	10.26	0.04	chr14	29428603	29428553	29428653
chr14	29591949	29592831	883	518	26	128.88	7.22	0.04	chr14	29592466	29592416	29592516
chr14	32603486	32604655	1170	575	54	293.61	10.77	0.02	chr14	32604060	32604010	32604110
chr14	32752439	32753182	744	411	33	155.41	9	0.03	chr14	32752849	32752799	32752899
chr14	33073522	33074613	1092	568	41	88.98	5	0.06	chr14	33074089	33074039	33074139
chr14	33277704	33278385	682	428	21	76.98	5	0.1	chr14	33278131	33278081	33278181
chr14	35145659	35146443	785	367	18	51.89	4.58	0.39	chr14	35146025	35145975	35146075
chr14	35672925	35673526	602	278	15	70.63	4.95	0.14	chr14	35673202	35673152	35673252
chr14	39494829	39495852	1024	490	36	107.77	6.76	0.04	chr14	39495318	39495268	39495368
chr14	41754567	41755428	862	335	52	401.87	15.45	0.02	chr14	41754901	41754851	41754951
chr14	43972565	43973350	786	401	23	81.32	6.29	0.09	chr14	43972965	43972915	43973015
chr14	49659487	49660353	867	389	24	87.84	7.5	0.07	chr14	49659875	49659825	49659925
chr14	49918789	49919344	556	169	14	72.53	6.25	0.13	chr14	49918957	49918907	49919007
chr14	51734214	51735032	819	382	33	120.98	7.65	0.04	chr14	51734595	51734545	51734645
chr14	52469641	52470891	1251	571	67	381.51	12.86	0.02	chr14	52470211	52470161	52470261
chr14	52817993	52819288	1296	421	46	218.57	7.02	0.02	chr14	52818413	52818363	52818463
chr14	54181334	54181914	581	290	16	97.91	7.58	0.06	chr14	54181623	54181573	54181673
chr14	55989653	55990665	1013	528	42	272.58	14.89	0.02	chr14	55990180	55990130	55990230
chr14	57969401	57970173	773	397	38	222.66	10.77	0.02	chr14	57969797	57969747	57969847
chr14	58223686	58224524	839	407	24	104.3	9.35	0.04	chr14	58224092	58224042	58224142
chr14	58437376	58438728	1353	689	102	892.75	24.55	0	chr14	58438064	58438014	58438114
chr14	60254709	60255276	568	400	14	56.32	5	0.31	chr14	60255108	60255058	60255158
chr14	60706768	60707540	773	507	37	256.51	11.39	0.03	chr14	60707274	60707224	60707324
chr14	61787402	61788256	855	328	53	291.54	10.29	0.02	chr14	61787729	61787679	61787779
chr14	61957647	61958478	832	450	37	119.78	6.5	0.04	chr14	61958096	61958046	61958146
chr14	64193083	64193959	877	344	26	123.3	9.31	0.04	chr14	64193426	64193376	64193476
chr14	65630677	65631228	552	355	25	159.3	10	0.03	chr14	65631031	65630981	65631081
chr14	66239328	66240330	1003	464	67	371.17	13.61	0.02	chr14	66239791	66239741	66239841
chr14	66585730	66586368	639	406	20	102.59	7	0.05	chr14	66586135	66586085	66586185
chr14	72125589	72126596	1008	524	42	260.12	13.5	0.02	chr14	72126112	72126062	72126162
chr14	72767490	72768376	887	434	31	143.67	9.58	0.04	chr14	72767923	72767873	72767973
chr14	74231521	74232364	844	357	33	71.06	4.01	0.14	chr14	74231877	74231827	74231927
chr14	77499154	77499995	842	581	30	77.61	3.68	0.1	chr14	77499734	77499684	77499784
chr14	79782165	79782945	781	404	65	337.31	8.33	0.03	chr14	79782568	79782518	79782618
chr14	79995761	79996705	945	498	51	217.72	8.68	0.02	chr14	79996258	79996208	79996308
chr14	80934920	80935516	597	241	40	193.01	7.35	0.02	chr14	80935160	80935110	80935210
chr14	81767539	81768077	539	341	26	155.46	7.69	0.03	chr14	81767879	81767829	81767929
chr14	82561129	82562000	872	442	38	185.34	9.29	0.03	chr14	82561570	82561520	82561620
chr14	85072550	85073193	644	268	15	76.1	6.33	0.1	chr14	85072817	85072767	85072867
chr14	85816178	85817671	1494	1002	59	264.34	9.34	0.02	chr14	85817179	85817129	85817229
chr14	86842471	86843306	836	316	52	386.76	15.05	0.02	chr14	86842786	86842736	86842836
chr14	87423151	87423653	503	313	14	65.57	5.61	0.18	chr14	87423463	87423413	87423513
chr14	87559734	87560676	943	476	26	63.35	4.72	0.2	chr14	87560209	87560159	87560259
chr14	88476649	88477764	1116	577	63	249.32	10.24	0.02	chr14	88477225	88477175	88477275
chr14	89441420	89442481	1062	524	36	144.89	9.62	0.03	chr14	89441943	89441893	89441993
chr14	89867853	89868875	1023	458	46	114.57	7.08	0.04	chr14	89868310	89868260	89868360
chr14	89917343	89918137	795	509	24	120.87	6.12	0.04	chr14	89917851	89917801	89917901
chr14	90840008	90840753	746	409	20	106.95	9.15	0.05	chr14	90840416	90840366	90840466
chr14	90981613	90982600	988	527	35	141.31	7.89	0.04	chr14	90982139	90982089	90982189
chr14	92427674	92428573	900	465	27	137.14	9.04	0.04	chr14	92428138	92428088	92428188
chr14	93644211	93644823	613	339	17	50.63	4.43	0.42	chr14	93644549	93644499	93644599
chr14	94266032	94267227	1196	501	37	73.73	3.16	0.12	chr14	94266532	94266482	94266582
chr14	95121167	95122248	1082	551	62	354.62	16.67	0.02	chr14	95121717	95121667	95121767
chr14	96221783	96223058	1276	253	45	171.6	7.86	0.03	chr14	96222035	96221985	96222085
chr14	96384687	96385541	855	319	32	143.4	8.46	0.04	chr14	96385005	96384955	96385055
chr14	96437468	96438268	801	399	49	374.55	15.77	0.02	chr14	96437866	96437816	96437916
chr14	96445543	96446423	881	481	26	84.5	5	0.07	chr14	96446023	96445973	96446073
chr14	96582740	96583583	844	461	23	81.32	5.49	0.09	chr14	96583200	96583150	96583250
chr14	99542622	99543432	811	319	32	211.27	10.56	0.03	chr14	99542940	99542890	99542990
chr15	100064008	100065483	1476	551	96	510.09	10.28	0.02	chr15	100064558	100064508	100064608
chr15	101784082	101785396	1315	731	80	241.92	8.57	0.02	chr15	101784812	101784762	101784862
chr15	21058121	21058981	861	423	22	65.38	5.38	0.18	chr15	21058543	21058493	21058593
chr15	21073023	21074009	987	506	29	137.02	10.61	0.04	chr15	21073528	21073478	21073578
chr15	23206067	23206547	481	186	17	109.83	8.24	0.04	chr15	23206252	23206202	23206302
chr15	25069591	25070366	776	235	26	129.32	7.27	0.04	chr15	25069825	25069775	25069875
chr15	25570089	25570908	820	399	28	123.47	6.67	0.04	chr15	25570487	25570437	25570537
chr15	27571308	27572299	992	452	34	116.37	5.67	0.04	chr15	27571759	27571709	27571809
chr15	29474808	29476007	1200	190	77	506.42	12.14	0.01	chr15	29474997	29474947	29475047
chr15	30114590	30115272	683	300	18	75.85	4.41	0.11	chr15	30114889	30114839	30114939
chr15	35117194	35118069	876	461	26	103.25	7.08	0.04	chr15	35117654	35117604	35117704
chr15	35723527	35724144	618	208	38	213.97	9.71	0.03	chr15	35723734	35723684	35723784
chr15	39523692	39524676	985	485	48	307.83	14.6	0.02	chr15	39524176	39524126	39524226
chr15	40022554	40023532	979	453	30	143.21	8.5	0.04	chr15	40023006	40022956	40023056
chr15	42520475	42521547	1073	506	69	577.92	26.96	0.02	chr15	42520980	42520930	42521030
chr15	42562489	42564080	1592	1022	190	1455.82	25.48	0	chr15	42563510	42563460	42563560
chr15	42767811	42768568	758	355	18	54.51	5	0.34	chr15	42768165	42768115	42768215
chr15	42787113	42788172	1060	520	45	169.81	9.41	0.03	chr15	42787632	42787582	42787682
chr15	43223529	43224680	1152	538	72	353.58	12.63	0.02	chr15	43224066	43224016	43224116
chr15	44358268	44358886	619	289	27	124.85	7.33	0.04	chr15	44358556	44358506	44358606
chr15	45185646	45186258	613	259	16	55.19	4.58	0.32	chr15	45185904	45185854	45185954
chr15	45374602	45375311	710	223	19	77.47	6.36	0.1	chr15	45374824	45374774	45374874
chr15	48066384	48066831	448	265	14	50.11	3.93	0.44	chr15	48066648	48066598	48066698
chr15	48772588	48773194	607	383	16	62.74	4.59	0.21	chr15	48772970	48772920	48773020
chr15	48830978	48831604	627	212	20	70.3	3.83	0.15	chr15	48831189	48831139	48831239
chr15	49786467	49787358	892	555	59	418.66	13.75	0.02	chr15	49787021	49786971	49787071
